d_energies,ber
40853.28328814438,0.0
9405.412144489084,0.0
67110.75092817025,0.0
69780.97747395695,0.0
10397.421556232382,147.5
2440.6913448607656,0.0
5401.539761887598,0.0
8705521.955369288,52.5
61759.37186260418,0.0
32411630.557909567,137.5
47502.94376210941,0.0
130002.2074488421,20.0
4721.450720497196,0.0
56189.91336103679,0.0
9060.097304552388,0.0
11716.906930176221,0.0
6229.234054820457,0.0
17966.559178187315,0.0
6484.788446597089,0.0
57489.867061954305,0.0
170556.3090439565,0.0
39489.955525006495,0.0
16334994.802482607,132.5
6501.296875726498,82.5
6737.759245376072,2.5
6572.565258534932,5.0
9621.981844464459,0.0
39844.01089267174,0.0
13665.78940740661,17.5
4172.951443711357,0.0
5432.387986403286,0.0
3091.870370607416,0.0
9885.950917771246,0.0
19810.95934921266,0.0
1500.863414863701,0.0
141112.38532160182,27.5
8585.919955748166,0.0
2752.7682389365305,0.0
3876.7920331674636,0.0
3418733.863731336,5.0
4030.964953293763,0.0
6511.696215787559,2.5
35235.017836706145,0.0
3320.7239539733764,0.0
24033.180563736496,0.0
7282.462816617332,0.0
29728.945336188295,32.5
81518.53519746367,12.5
8693.377552979982,0.0
6100.701153280841,0.0
398138.5530522715,17.5
7332.59495517749,0.0
56774.42780357602,0.0
72848.35622906857,45.0
9065.86409097272,0.0
164915.14746777137,2.5
35416.56377723991,0.0
6930.648203875639,0.0
4606.410637326293,0.0
78781.25177548456,0.0
61225.17455202765,0.0
7624.773178465666,0.0
3235.451715524619,0.0
10533.890381678586,0.0
8451.432632212538,107.5
13711.602347588974,0.0
6507.372991354279,2.5
3089.892606859295,152.5
2862.9552129252247,0.0
16761.842703312723,0.0
6562199.3201660225,82.5
667673.5877676986,10.0
7952.259306781204,0.0
30028.74508774338,0.0
2218332.846632419,0.0
10096.67641117641,0.0
197654.90286023892,0.0
5170.459070513939,0.0
9953.968808920652,0.0
17599.62484912692,0.0
5941.545021570881,0.0
3091.0492901749153,0.0
27896.1716216411,0.0
2387112.2545841346,195.0
113725.12613158106,0.0
3446.3949610013315,2.5
17783.61779035886,0.0
7031.260703156422,2.5
99466.7762695824,0.0
21860156.29575793,15.0
11307.439039049768,0.0
3170.1714793825495,0.0
52091.35650347834,0.0
2727.3871448663995,0.0
3998520.4561699256,60.0
1986.8232653042148,0.0
6426.973202023486,0.0
3900.4075095490584,0.0
16186.859277335614,40.0
6371.209451911899,15.0
16150.952272591605,0.0
7503.031008792978,0.0
4138.6141832576695,0.0
7508.38621440182,0.0
54648.06682895292,0.0
13899965.990445625,195.0
81316.86382289315,0.0
110737.90120521281,20.0
1354.8408004218238,0.0
8427.116918399526,17.5
3994.171870648957,0.0
62904.5939789622,0.0
2937.1739252253337,0.0
10836.443229298326,0.0
3289.5288892633653,0.0
36038.69074305847,0.0
6568.760462900676,0.0
3861.5110467469167,0.0
2193.7602677012515,0.0
41939.668471036486,0.0
2670.8643527041204,0.0
33613.386662308396,0.0
4985.309064646337,0.0
8407.47053273308,25.0
54420.63787444019,0.0
18193.54199976075,0.0
42150.18460132695,0.0
13655.461839830172,0.0
4204.788410604357,0.0
52890.74270817905,0.0
45025.644971356065,0.0
13671.49282891634,0.0
29815425.917719647,0.0
3740.958370726822,0.0
20535.88809966654,37.5
5836059.113618546,67.5
49131.19991209703,0.0
4077241.5920896577,37.5
15584843.310566032,75.0
15323266.699571833,122.5
5019.7619020451475,0.0
3859.5513229835565,0.0
15343.831472324593,0.0
8939.719896915689,82.5
3635.1682787620894,0.0
4433.327614890641,0.0
248476.09218000135,0.0
1704.4620847114777,0.0
123687.3730923066,0.0
104757.57435842752,2.5
7085.907640552229,0.0
100592.89958636624,0.0
7482.5531739351845,15.0
3067.2378749805084,0.0
3499.287808169038,0.0
76767.89692904473,0.0
104433.16287985454,0.0
38696.36506690791,0.0
6595.5528596967215,0.0
15719.955828022205,0.0
26508.239320771303,0.0
8693.876790834729,0.0
52020.63528344002,0.0
51286.317072520804,0.0
3001863.5354558984,17.5
2650.9323751216198,0.0
45778.73869913424,0.0
98776.44144160941,0.0
359947.71022010775,5.0
9711273.846754087,0.0
17055.695814368835,0.0
5785.338185270566,0.0
57716.980955650935,0.0
17466.94125091144,102.5
5817.444445129506,0.0
3214625.3782622647,75.0
42981.497644730254,0.0
9644727.979472425,215.0
1996244.5433542952,42.5
2589.2283055631588,0.0
12864.44421731497,0.0
2204.039149311523,0.0
37595.12647188975,0.0
380157.8690477322,2.5
4201.762514100328,0.0
13964.583776454863,5.0
45074.91957507427,0.0
13586.299861720592,0.0
89208.83993572163,0.0
46550.338845980536,0.0
4713.877453773261,135.0
12331.453616660787,0.0
15157.62621260632,0.0
4637.342510985751,0.0
16054.141490758264,0.0
85586.69178291669,0.0
4174.645413771488,0.0
3926.195338385141,0.0
7292.857647298644,0.0
55997.40837535255,0.0
30620.470975205928,0.0
9289.993618778468,0.0
2298.2192536574667,0.0
64310.7350846662,0.0
4470.252008943082,0.0
10252.118660172244,0.0
21564.13077955501,0.0
9552.774171913094,0.0
4476.88618320555,0.0
20688.995071103473,0.0
60587.40596523151,5.0
20429.484083129155,0.0
201773.1104338187,87.5
7181.773271877413,0.0
54568.30499383013,0.0
4403.356764702885,0.0
454094.3648990448,132.5
2519.061135362543,0.0
11858.671779317228,0.0
1816829.8576235096,10.0
70563.78938724507,0.0
13034.038999987537,150.0
51678.310207054135,0.0
32073.89628058065,0.0
3631.7538225756925,5.0
164606.87908213242,0.0
31838.801283146655,0.0
7276.376378940417,0.0
6416.360592570504,0.0
15425.292832564424,0.0
69345.77458961224,0.0
46962.82383188839,0.0
132863.38999581634,0.0
54046.032203480165,0.0
5557.45784898033,0.0
3756.0131582267168,0.0
6876.564316429593,122.5
6422.865275619259,0.0
134470.8207523105,0.0
30852.337916814824,0.0
5829.627379609945,0.0
3073.0960937595473,0.0
106052.66879008076,0.0
5441.467949189323,0.0
7955.193138538734,0.0
6274.511448132025,0.0
4657.430629298749,0.0
7682.223181650759,0.0
23356882.845256276,127.5
7148.653287906233,2.5
10167.743899358073,0.0
9312.223817212327,0.0
5481.57125204421,0.0
2206.2970230572137,0.0
2549.12972030067,0.0
48356.90135269367,0.0
6168.193595995607,0.0
10324.266641557762,0.0
1409.1750049729235,0.0
22428.07143258046,0.0
3461.467699576676,0.0
32793.0709282861,0.0
45136.735913386714,0.0
23787.906983324734,5.0
13482.447645115943,0.0
7802.245663086338,0.0
145390.55186875703,0.0
2639.644354853941,0.0
1727814.0630126162,0.0
38914.07877542378,0.0
6637.866097369479,0.0
30487.135580661998,0.0
15839.788897481705,0.0
15313923.403549485,140.0
5099.332863258507,0.0
2486.778723832984,0.0
51839.789752508994,0.0
3149.544144338145,0.0
117641.8714284469,0.0
292975.7962575646,0.0
27102670.56258156,132.5
1555.4665533568796,15.0
6420.419746315941,0.0
56171.772727859134,2.5
16555.942313360523,0.0
3123.394861241837,0.0
127423.47044760225,0.0
109958.89536745264,0.0
6586.85925320854,0.0
35186.6795222925,0.0
1240077.6004155297,20.0
4170.067510574598,0.0
6120.219157940077,0.0
5603.641497845392,0.0
7975.044884938451,0.0
62101.36362172356,0.0
13043.174175441061,0.0
16129.177439149988,0.0
10910.640459577255,0.0
3068469.572693691,110.0
